"Keywords";"English";"Turkish"
"";"";""
"languages";"Languages";"Diller"
"";"Main Menu";""
"continue";"Continue";"Devam Et"
"settings";"Settings";"Ayarlar"
"credits";"Credits";"Emeği Geçenler"
"quit";"Quit Game";"Oyundan çık"
"back";"Back";"Geri"
"master_volume";"Master Volume";"Ana Ses"
"music_volume";"Music Volume";"Müzik Sesi"
"sfx_volume";"SFX Volume";"Ses Efektleri"
"camera_sensitivity";"Camera Sensitivity";"Kamera Hassasiyeti"
"developer_mode";"Developer Mode";"Geliştirici Modu"
"save_game";"Save Game";"Oyunu Kaydet"
"";"";""
"no";"No";"Hayır"
"yes";"Yes";"Evet"
"close";"Close";"Kapat"
"exit";"Exit";"Çık"
"dismiss";"Cancel";"Vazgeç"
"restart";"Restart";"Yeniden başla"
"delete";"Delete";"Sil"
"play";"Play";"Oyna"
"";"";""
"alchemyBookIntroductionP1";"<b>The Art of Alchemy</b><br><br> Alchemy is an ancient discipline blending science, philosophy, and spirituality. Often misunderstood as the pursuit of turning metals into gold, its true aim is deeper: the transformation of both matter and spirit. Alchemists sought to understand the universe's hidden truths, symbolized by their search for the philosopher's stone, a substance believed to perfect both material and soul.";""
"alchemyBookIntroductionP2";"This book explores the history, principles, and practices of alchemy, revealing how it shaped science, medicine, and metaphysics. Join us as we uncover the mysteries and transformative power of this age-old art.";""
"";"";""
"customerD1";"Hello.|My daughter is a bit sick.|Can you heal her?";"Merhaba.|Kızım biraz hasta.|Onu iyileştirebilir misin?"
"customerD2";"Hey there!|I am prepearing a salad for my family.|I need some lemon juice.";"Merhaba!|Ailem için bir salata hazırlıyorum.|Biraz limon suyuna ihtiyacım var."
"customerD3";"Yoo|<shake=0.6>I am in need of some</shake> <shake=1><color="red">burning LOVE</color></shake>|I think you can help me (;";"Yoo|<shake=1><color="red">Alevli bir AŞK'a</color></shake> ihtiyacım var|Bana yardım edebileceğini düşünüyorum (;"
"";"";""
"customerD4";"<shake=2><color="yellow">BANANA!</color></shake>|I need a <shake=2><color="yellow">banana!</color></shake>|I am going <shake=3><color="yellow">bananas</color> without it!</shake>";"<shake=2>MUZ!</shake>|Bir <shake=2><color="yellow">muz</color></shake>|Onsuz <shake=3><color="yellow">deliye dönüyorum</color>!</shake>"
"customerD5";"Hello mister|I am thinking of opening a alchemy shop near you|For that, i need something to put my liquids into";"Merhaba beyefendi|Yanınızda bir simya dükkanı açmayı düşünüyorum|Bunun için sıvılarımı koyabileceğim bir şeye ihtiyacım var"
"customerD6";"Hey i am in a hurry|There is a cat that is stuck on a tree|Somehow i need to reach there|Can you help me?";"Hey biraz acelem var|Ağaçta kalmış bir kedi var|Ve bir şekilde ona ulaşmam lazım|Bana yardım edebilir misin?"
"";"";""
"customerD7";"i am so thirsty|give me anything to drink|please";"Çok susadım|Bana içecek bir şey ver|lütfen"
"customerD8";"<shake=1>I am in LOVE</shake>|But she is not ):|Can you help me ?";"<shake=1>AŞIK oldum</shake>|Ama o değil ):|Bana yardım edebilir misin ?"
